2019-06-17 21:24:41.018 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.018 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.018 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.019 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.019 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.019 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.019 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.019 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.020 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.021 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.021 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.022 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.022 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.022 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.024 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.024 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.024 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.025 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.026 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.026 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.026 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.026 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.028 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.029 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.029 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.031 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.036 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.036 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.037 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.037 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.037 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.037 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.037 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.037 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.037 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.038 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.038 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
2019-06-17 21:24:41.038 [main] DEBUG by.training.epam.task2tree.component.Composite - Object was successfully added!
